"","Genus","Metabolite","Correlation","Pvalue","Group","AdjPvalue","Significance"
"1","Lactobacillus","Citric_acid",0.200642146917995,0.0624068266921455,"1",0.0624068266921455,""
"2","Lactobacillus","Hippuric_acid",-0.0965411866948241,0.373717128884149,"1",0.373717128884149,""
"3","Lactobacillus","Glycine",0.0919334899884757,0.397055682862083,"1",0.397055682862083,""
"4","Lactobacillus","D_Lactose",-0.421540529815506,4.77870176079819e-05,"1",4.77870176079819e-05,"***"
"5","Lactobacillus","D_Glucose",0.0106039788586592,0.922345624547482,"1",0.922345624547482,""
"6","Lactobacillus","Creatine",0.00823537027458548,0.939654062411816,"1",0.939654062411816,""
"7","Lactobacillus","Oxaloacetic_acid",-0.354315632758336,0.000759995035172948,"1",0.000759995035172948,"***"
"8","Lactobacillus","Guanidinoacetic_acid",0.0674615013478636,0.534701120554216,"1",0.534701120554216,""
"9","Lactobacillus","Alanine",0.200275705101873,0.0628968122141608,"1",0.0628968122141608,""
"10","Lactobacillus","D_Mannitol",-0.020215697958024,0.852561469302928,"1",0.852561469302928,""
"11","Lactobacillus","Lactic_acid",0.242690761622133,0.0235186741579544,"1",0.0235186741579544,"*"
"12","Lactobacillus","Proline_betaine",-0.0457078925120574,0.6742018227528,"1",0.6742018227528,""
"13","Lactobacillus","Formic_acid",0.146969160507864,0.174337189619858,"1",0.174337189619858,""
"14","Lactobacillus","Acetoacetic_acid",-0.130607460056859,0.227903091473004,"1",0.227903091473004,""
"15","Lactobacillus","Dimethylamine",0.00811824655693088,0.940510729276925,"1",0.940510729276925,""
"16","Lactobacillus","Trigonelline",0.0926579264467227,0.393330189078217,"1",0.393330189078217,""
"17","Lactobacillus","Acetic_acid",-0.122899181005997,0.256772584259868,"1",0.256772584259868,""
"18","Lactobacillus","Betaine",-0.0212181585216673,0.8453387458033,"1",0.8453387458033,""
"19","Lactobacillus","Caffeine",-0.0786516270403477,0.468988616710787,"1",0.468988616710787,""
"20","Lactobacillus","X2_Furoylglycine",0.0854394922775881,0.431375356482851,"1",0.431375356482851,""
"21","Gardnerella","Citric_acid",-0.0279720074002632,0.797038148939218,"1",0.797038148939218,""
"22","Gardnerella","Hippuric_acid",-0.0879795291378082,0.417755008949225,"1",0.417755008949225,""
"23","Gardnerella","Glycine",0.266044926863731,0.0127501655930616,"1",0.0127501655930616,"*"
"24","Gardnerella","D_Lactose",0.0372083349973594,0.732234217380996,"1",0.732234217380996,""
"25","Gardnerella","D_Glucose",0.0187128870507644,0.863411818588519,"1",0.863411818588519,""
"26","Gardnerella","Creatine",0.0415115256703418,0.702640797604554,"1",0.702640797604554,""
"27","Gardnerella","Oxaloacetic_acid",0.0914139412945243,0.399740346426588,"1",0.399740346426588,""
"28","Gardnerella","Guanidinoacetic_acid",0.117948369451948,0.276577426274539,"1",0.276577426274539,""
"29","Gardnerella","Alanine",0.0965684510020007,0.373581562799148,"1",0.373581562799148,""
"30","Gardnerella","D_Mannitol",0.173074775951879,0.108910766620461,"1",0.108910766620461,""
