"","Genus","Metabolite","Correlation","Pvalue","Group","AdjPvalue","Significance"
"1","Lactobacillus","Glycine",0.437071703813883,0.0157308765143267,"1",0.0157308765143267,"*"
"2","Lactobacillus","D_Glucose",0.0576958905216698,0.762013460126397,"1",0.762013460126397,""
"3","Lactobacillus","Guanidinoacetic_acid",0.271474314503731,0.146735610937157,"1",0.146735610937157,""
"4","Lactobacillus","Alanine",0.371390711836075,0.0433130469615093,"1",0.0433130469615093,"*"
"5","Lactobacillus","Lactic_acid",0.384369098806007,0.0359805352353962,"1",0.0359805352353962,"*"
"6","Lactobacillus","Oxaloacetic_acid",-0.133266075173112,0.482645625452956,"1",0.482645625452956,""
"7","Lactobacillus","Dimethylamine",0.0805995313089931,0.672008240640325,"1",0.672008240640325,""
"8","Lactobacillus","Formic_acid",0.16606950137374,0.380452590373694,"1",0.380452590373694,""
"9","Lactobacillus","D_Lactose",0.0385746477711759,0.83962012347701,"1",0.83962012347701,""
"10","Lactobacillus","Betaine",-0.0558246313699825,0.76952200881883,"1",0.76952200881883,""
"11","Lactobacillus","Succinic_acid",0.415362356718203,0.0224543300735972,"1",0.0224543300735972,"*"
"12","Lactobacillus","X4_Aminobutyric_acid",0.0876133079288847,0.645247693908738,"1",0.645247693908738,""
"13","Lactobacillus","Fumaric_acid",0.332762648480094,0.0723721581857805,"1",0.0723721581857805,""
"14","Gardnerella","Glycine",0.165332980905407,0.382598651757252,"1",0.382598651757252,""
"15","Gardnerella","D_Glucose",-0.0526893956176226,0.782147937457984,"1",0.782147937457984,""
"16","Gardnerella","Guanidinoacetic_acid",-0.156035544490102,0.410287398884985,"1",0.410287398884985,""
"17","Gardnerella","Alanine",-0.0997366926568771,0.600015214026857,"1",0.600015214026857,""
"18","Gardnerella","Lactic_acid",-0.073590342265488,0.699149706376221,"1",0.699149706376221,""
"19","Gardnerella","Oxaloacetic_acid",-0.0720056598385735,0.705338180370418,"1",0.705338180370418,""
"20","Gardnerella","Dimethylamine",0.0988285195680806,0.603356267112256,"1",0.603356267112256,""
"21","Gardnerella","Formic_acid",-0.0795696740872255,0.675971864958431,"1",0.675971864958431,""
"22","Gardnerella","D_Lactose",0.187110019924972,0.322136683091608,"1",0.322136683091608,""
"23","Gardnerella","Betaine",0.193011030159274,0.306831168515977,"1",0.306831168515977,""
"24","Gardnerella","Succinic_acid",-0.0806913142531908,0.671655410526671,"1",0.671655410526671,""
"25","Gardnerella","X4_Aminobutyric_acid",-0.187876607578974,0.320122218814248,"1",0.320122218814248,""
"26","Gardnerella","Fumaric_acid",-0.218546232274755,0.245944808671458,"1",0.245944808671458,""
"27","Atopobium","Glycine",0.088100367385803,0.643404903492722,"1",0.643404903492722,""
"28","Atopobium","D_Glucose",0.0179023120563744,0.925191917661341,"1",0.925191917661341,""
"29","Atopobium","Guanidinoacetic_acid",0.169359016935502,0.370953323139062,"1",0.370953323139062,""
"30","Atopobium","Alanine",0.0434403756431083,0.819700676646304,"1",0.819700676646304,""
"31","Atopobium","Lactic_acid",-0.0131501563742629,0.94501454402687,"1",0.94501454402687,""
"32","Atopobium","Oxaloacetic_acid",0.017308825924728,0.927665363764395,"1",0.927665363764395,""
