#SampleID	SourceSink	Env
P1-O2	sink	oral
P2-O2	sink	oral
P3-O2	sink	oral
P4-O2	sink	oral
P5-O2	sink	oral
P6-O2	sink	oral
P7-O2	sink	oral
P8-O2	sink	oral
P9-O2	sink	oral
P10-O2	sink	oral
P11-O2	sink	oral
P12-O2	sink	oral
P14-O2	sink	oral
P15-O2	sink	oral
P16-O2	sink	oral
P18-O2	sink	oral
P19-O2	sink	oral
P20-O2	sink	oral
P21-O2	sink	oral
P22-O2	sink	oral
P23-O2	sink	oral
P24-O2	sink	oral
P25-O2	sink	oral
P26-O2	sink	oral
P27-O2	sink	oral
P28-O2	sink	oral
P29-O2	sink	oral
P30-O2	sink	oral
P31-O2	sink	oral
P32-O2	sink	oral
P1-H2	source	urine
P2-H2	source	urine
P3-H2	source	urine
P4-H2	source	urine
P5-H2	source	urine
P6-H2	source	urine
P7-H2	source	urine
P8-H2	source	urine
P9-H2	source	urine
P10-H2	source	urine
P11-H2	source	urine
P12-H2	source	urine
P14-H2	source	urine
P15-H2	source	urine
P16-H2	source	urine
P18-H2	source	urine
P19-H2	source	urine
P20-H2	source	urine
P21-H2	source	urine
P22-H2	source	urine
P23-H2	source	urine
P24-H2	source	urine
P25-H2	source	urine
P26-H2	source	urine
P27-H2	source	urine
P28-H2	source	urine
P29-H2	source	urine
P30-H2	source	urine
P31-H2	source	urine
P32-H2	source	urine
P1-V2	source	vaginal
P2-V2	source	vaginal
P3-V2	source	vaginal
P4-V2	source	vaginal
P5-V2	source	vaginal
P6-V2	source	vaginal
P7-V2	source	vaginal
P8-V2	source	vaginal
P9-V2	source	vaginal
P10-V2	source	vaginal
P11-V2	source	vaginal
P12-V2	source	vaginal
P14-V2	source	vaginal
P15-V2	source	vaginal
P16-V2	source	vaginal
P18-V2	source	vaginal
P19-V2	source	vaginal
P20-V2	source	vaginal
P21-V2	source	vaginal
P22-V2	source	vaginal
P23-V2	source	vaginal
P24-V2	source	vaginal
P25-V2	source	vaginal
P26-V2	source	vaginal
P27-V2	source	vaginal
P28-V2	source	vaginal
P29-V2	source	vaginal
P30-V2	source	vaginal
P31-V2	source	vaginal
P32-V2	source	vaginal
